 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
137  |    dog     |  12114t - 11333t  |     -X_46 - X_42      |   L1_Cf(h) - L1_Cf(t)   |  4193   |  True  | L1_Cfhou, L1_Cftoi | dog 
138  |    dog     |   7097h - 7351t   |      3_39 - 3_41      | L1_Canis1(h) - L1_Canis1(h) |  4195   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
139  |    dog     |  20738t - 3289h   |    -28_14 - -28_13    | L1_Canis1(h) - L1_Canis1(t) |  4248   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
140  |    dog     |  12728t - 11725t  |     12_74 - 12_75     |   L1_Cf(h) - L1_Cf(t)   |  4344   |  True  | L1_Cfhou, L1_Cftoi | dog 
141  |    dog     |  31279h - 2407t   |     34_19 - 7_80      | L1_Canis1(t) - L1_Cf(t)   |  4364   | False  | L1_Canis1tou, L1_Canis1hoi, L1_Cfhou, L1_Cftoi | dog 
142  |    dog     |   7005h - 13737h  |     13_67 - 13_68     | L1_Canis1(h) - L1_Canis1(t) |  4798   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
143  |    dog     |  35832h - 15449h  |    -19_27 - -19_25    | L1_Canis1(t) - L1_Cf(t)   |  4856   |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cfhou, L1_Cftoi | dog 
144  |    dog     |  16201h - 21385t  |     X_270 - X_292     |   L1_Cf(t) - L1_Cf(t)   |  4866   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
145  |    dog     |  13012h - 14620t  |    -29_69 - -29_66    | L1_Canis1(h) - L1_Canis1(t) |  4869   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
146  |    dog     |   3892t - 2029t   |    -28_33 - -28_30    |   L1_Cf(t) - L1_Cf(h)   |  4870   |  True  | L1_Cftou, L1_Cfhoi | dog 
147  |    dog     |  22290h - 17715h  |     12_16 - 12_20     |   L1_Cf(h) - L1_Cf(h)   |  4894   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
148  |    dog     |   1326t - 17535h  |       6_1 - 6_2       | L1_Canis1(h) - L1_Canis1(t) |  4929   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
149  |    dog     |  11798t - 26317t  |     -6_34 - -6_33     | L1_Canis1(h) - L1_Canis1(t) |  4932   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
150  |    dog     |  16065t - 644h    |     12_65 - 12_73     |   L1_Cf(t) - L1_Canis1(t) |  4950   |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1hou, L1_Canis1toi | dog 
151  |    dog     |  17305h - 15551h  |     25_64 - 25_65     | L1_Canis1(t) - L1_Canis1(h) |  4975   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
152  |    dog     |  15201t - 8701t   |     -8_73 - -8_71     |   L1_Cf(t) - L1_Cf(t)   |  5212   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
153  |    dog     |  35398t - 15328t  |     29_54 - 29_56     | L1_Canis1(t) - L1_Cf(h)   |  5225   |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
154  |    dog     |   1615t - 14365t  |      24_7 - 24_8      |   L1_Cf(h) - L1_Cf(t)   |  5364   |  True  | L1_Cfhou, L1_Cftoi | dog 
155  |    dog     |  12877t - 14552h  |     31_27 - 31_28     | L1_Canis1(h) - L1_Canis1(t) |  5583   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
156  |    dog     |  12064t - 5958h   |     21_45 - 21_46     | L1_Canis1(t) - L1_Canis1(h) |  5635   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
157  |    dog     |  19707t - 27317t  |     17_25 - 17_26     | L1_Carn5(h) - L1_Carn5(t) |  5639   |  True  | L1_Carn5hou, L1_Carn5toi | dog 
158  |    dog     |  21106h - 29645t  |      3_41 - -2_93     | L1_Canis1(t) - L1_Cf(h)   |  5879   |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
159  |    dog     |   1145h - 12182t  |    -33_11 - -33_10    |   L1_Cf(h) - L1_Cf(t)   |  5991   |  True  | L1_Cfhou, L1_Cftoi | dog 
160  |    dog     |  19276h - 13831h  |     18_15 - 18_22     |   L1_Cf(h) - L1_Cf(h)   |  6003   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
161  |    dog     |  36826t - 36805t  |    -20_31 - -20_30    | L1_Canis1(h) - L1_Canis1(t) |  6029   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
162  |    dog     |   3395t - 16635t  |    -17_49 - -17_45    | L1_Canis1(h) - L1_Canis1(h) |  6069   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
163  |    dog     |     13h - 19556h  |      -X_9 - 4_51      |   L1_Cf(h) - L1_Canis1(h) |  6109   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
164  |    dog     |  14346t - 46538t  |    -30_18 - -30_17    |   L1_Cf(t) - L1_Cf(h)   |  6132   |  True  | L1_Cftou, L1_Cfhoi | dog 
165  |    dog     |  14625h - 15569h  |     32_11 - -13_48    | L1_Canis1(t) - L1_Cf(h)   |  6226   | False  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
166  |    dog     |  36671h - 21527t  |   -11_131 - -11_129   |   L1_Cf(t) - L1_Cf(h)   |  6243   |  True  | L1_Cftou, L1_Cfhoi | dog 
