 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
261  | chimpanzee |   2070t - 3124t   |     -6_77 - -6_74     |   L1PA3(h) - L1PA4(t)   |  5429   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
262  | chimpanzee |   9545h - 11258t  |    -5_688 - -5_684    |   L1PA5(h) - L1PA2(h)   |  5434   |  True  | L1PA5hou, L1PA5toi, L1PA2tou, L1PA2hoi | chimpanzee 
263  | chimpanzee |  18355t - 509h    |    -7_133 - -7_129    |   L1PA3(h) - L1PA3(t)   |  5454   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
264  | chimpanzee |  19536h - 11050h  |     10_31 - 10_37     |   L1PA3(h) - L1PA2(h)   |  5478   |  True  | L1PA3hou, L1PA3toi, L1PA2tou, L1PA2hoi | chimpanzee 
265  | chimpanzee |   4507t - 5037h   |     6_693 - 6_703     |   L1PA5(h) - L1P1(t)    |  5497   |  True  | L1PA5hou, L1PA5toi, L1P1hou, L1P1toi | chimpanzee 
266  | chimpanzee |  11887t - 32306t  |    -12_40 - -12_37    |   L1PA3(h) - L1Pt(h)    |  5501   |  True  | L1PA3hou, L1PA3toi, L1Pttou, L1Pthoi | chimpanzee 
267  | chimpanzee |    831t - 24140t  |     21_53 - 21_55     |   L1PA3(t) - L1PA4(h)   |  5540   |  True  | L1PA3tou, L1PA3hoi, L1PA4tou, L1PA4hoi | chimpanzee 
268  | chimpanzee |  21633t - 20857t  |    14_227 - 14_230    |   L1PA3(t) - L1PA4(t)   |  5602   |  True  | L1PA3tou, L1PA3hoi, L1PA4hou, L1PA4toi | chimpanzee 
269  | chimpanzee |    310h - 16865t  |      20_4 - 20_5      |   L1PA5(t) - L1PA5(h)   |  5640   |  True  | L1PA5tou, L1PA5hoi | chimpanzee 
270  | chimpanzee |   4824h - 15983h  |     1_647 - 1_648     |    L1Pt(h) - L1Pt(t)    |  5660   |  True  | L1Pthou, L1Pttoi | chimpanzee 
271  | chimpanzee |   7331h - 16398t  |     7_460 - 7_461     |   L1PA4(t) - L1PA4(h)   |  5675   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
272  | chimpanzee |  15720t - 9373h   |     7_433 - 7_438     |   L1PA2(t) - L1PA3(h)   |  5679   |  True  | L1PA2tou, L1PA2hoi, L1PA3tou, L1PA3hoi | chimpanzee 
273  | chimpanzee |  11614t - 11291h  |    -17_88 - -17_87    |   L1PA3(h) - L1PA3(t)   |  5682   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
274  | chimpanzee |   9964h - 783h    |   -15_100 - -15_96    |   L1PA3(t) - L1PA3(h)   |  5720   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
275  | chimpanzee |  21168t - 19496t  |    2B_104 - 2B_105    |   L1PA2(t) - L1PA2(h)   |  5726   |  True  | L1PA2tou, L1PA2hoi | chimpanzee 
276  | chimpanzee |   5336t - 53106h  |     X_440 - X_445     |   L1PA4(t) - L1P1(h)    |  5729   |  True  | L1PA4tou, L1PA4hoi, L1P1tou, L1P1hoi | chimpanzee 
277  | chimpanzee |   2320h - 8253h   |       4_2 - 4_3       |   L1PA4(t) - L1PA4(h)   |  5781   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
278  | chimpanzee |   4901t - 623h    |   -2B_211 - -2B_210   |   L1PA2(h) - L1PA2(t)   |  5785   |  True  | L1PA2hou, L1PA2toi | chimpanzee 
279  | chimpanzee |  23712t - 15229t  |    -1_453 - -1_449    |   L1PA4(t) - L1PA3(h)   |  5804   |  True  | L1PA4tou, L1PA4hoi, L1PA3tou, L1PA3hoi | chimpanzee 
280  | chimpanzee |    610h - 7442h   |   -12_243 - -12_242   |   L1PA4(h) - L1PA4(t)   |  5812   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
281  | chimpanzee |  17177t - 4874t   |     -1_42 - -1_39     |   L1PA3(t) - L1PA3(t)   |  5823   |  True  | L1PA3tou, L1PA3hoi, L1PA3hou, L1PA3toi | chimpanzee 
282  | chimpanzee |   6874t - 12153h  |     4_508 - 4_514     |   L1PA4(t) - L1PA5(t)   |  5842   |  True  | L1PA4tou, L1PA4hoi, L1PA5hou, L1PA5toi | chimpanzee 
283  | chimpanzee |   7977h - 2784t   |    -4_225 - -4_224    |    L1P1(t) - L1P1(h)    |  5894   |  True  | L1P1tou, L1P1hoi | chimpanzee 
284  | chimpanzee |  31657t - 9761t   |      8_79 - 8_89      |   L1PA3(h) - L1PA3(t)   |  5895   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
285  | chimpanzee |  12728t - 11725t  |     6_330 - 6_339     |   L1PA3(t) - L1PA2(t)   |  5900   |  True  | L1PA3tou, L1PA3hoi, L1PA2hou, L1PA2toi | chimpanzee 
