 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
175  |    dog     |  26861t - 13320t  |      X_13 - X_14      |   L1_Cf(h) - L1_Cf(t)   |  5757   |  True  | L1_Cfhou, L1_Cftoi | dog 
176  |    dog     |   9545h - 11258t  |    -11_55 - -11_54    | L1_Canis1(h) - L1_Canis1(t) |  5760   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
177  |    dog     |   1783h - 16201t  |     X_266 - X_270     | L1_Canis1(h) - L1_Cf(t)   |  5764   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
178  |    dog     |  18753h - 11991t  |     -3_19 - -3_18     | L1_Canis1(h) - L1_Canis1(t) |  5828   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
179  |    dog     |   5615t - 5658h   |     12_15 - 12_16     |   L1_Cf(t) - L1_Cf(h)   |  5867   |  True  | L1_Cftou, L1_Cfhoi | dog 
180  |    dog     |  10082t - 18487h  |     15_42 - 15_43     |   L1_Cf(h) - L1_Cf(t)   |  5868   |  True  | L1_Cfhou, L1_Cftoi | dog 
181  |    dog     |  40586t - 1439h   |     28_16 - 28_17     |   L1_Cf(t) - L1_Cf(h)   |  5978   |  True  | L1_Cftou, L1_Cfhoi | dog 
182  |    dog     |  16384t - 42810t  |    -25_32 - -13_46    |   L1_Cf(t) - L1_Cf(h)   |  6021   | False  | L1_Cftou, L1_Cfhoi | dog 
183  |    dog     |  38815h - 5690h   |      -5_6 - -5_3      | L1_Canis1(h) - L1_Cf(h)   |  6022   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cftou, L1_Cfhoi | dog 
184  |    dog     |  27146t - 5407h   |     -1_91 - -1_90     |   L1_Cf(h) - L1_Cf(t)   |  6105   |  True  | L1_Cfhou, L1_Cftoi | dog 
185  |    dog     |  31144h - 783t    |     30_27 - 30_29     | L1_Canis1(h) - L1_Canis1(h) |  6209   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
186  |    dog     |   2332t - 9558h   |     25_62 - 25_63     | L1_Canis1(h) - L1_Canis1(t) |  6211   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
187  |    dog     |   2332h - 9196h   |    -25_62 - -25_61    |   L1_Cf(h) - L1_Cf(t)   |  6212   |  True  | L1_Cfhou, L1_Cftoi | dog 
188  |    dog     |  20857h - 13111h  |      8_81 - 8_85      | L1_Canis1(h) - L1_Canis1(h) |  6238   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
189  |    dog     |  21053t - 5824h   |     14_76 - 14_79     | L1_Canis1(h) - L1_Cf(t)   |  6278   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
190  |    dog     |  15634t - 7944t   |     14_48 - 14_50     |   L1_Cf(h) - L1_Canis1(h) |  6348   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
191  |    dog     |  23346t - 10294h  |     4_128 - 4_130     |   L1_Cf(t) - L1_Cf(t)   |  6452   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
192  |    dog     |   3687t - 20235t  |    -X_125 - -X_113    |   L1_Cf(t) - L1_Cf(h)   |  6486   |  True  | L1_Cftou, L1_Cfhoi | dog 
193  |    dog     |  14346t - 46538t  |    -30_18 - -30_17    |   L1_Cf(t) - L1_Cf(h)   |  6671   |  True  | L1_Cftou, L1_Cfhoi | dog 
194  |    dog     |    818h - 8120t   |    -20_33 - -20_31    |   L1_Cf(t) - L1_Cf(t)   |  6775   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
195  |    dog     |   6841h - 5461t   |     -24_7 - -24_6     | L1_Canis1(h) - L1_Canis1(t) |  6845   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
196  |    dog     |  25902h - 34867t  |     12_60 - 12_65     | L1_Canis1(t) - L1_Canis1(h) |  6859   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
197  |    dog     |  11610t - 12633t  |     1_102 - 1_107     | L1_Canis1(t) - L1_Cf(h)   |  7010   |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
198  |    dog     |   6233h - 833h    |     -3_37 - -3_26     |   L1_Cf(h) - L1_Cf(t)   |  7043   |  True  | L1_Cfhou, L1_Cftoi | dog 
199  |    dog     |  13442h - 9727h   |    -17_52 - -17_51    | L1_Canis1(h) - L1_Canis1(t) |  7254   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
