 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
 0   | chimpanzee |  12227h - 17157h  |    -1_235 - 10_72     |   L1PA3(h) - L1PA3(t)   |    6    |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 1   | chimpanzee |  25317t - 13290t  |     6_168 - 6_169     |    L1Pt(h) - L1Pt(t)    |   10    |  True  | L1Pthou, L1Pttoi | chimpanzee 
 2   | chimpanzee |  20554t - 5667t   |     16_18 - 16_23     |   L1PA4(t) - L1PA3(t)   |   21    |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 3   | chimpanzee |    818h - 8120t   |     3_106 - 3_107     |   L1PA4(t) - L1PA4(h)   |   32    |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
 4   | chimpanzee |  16864t - 25113h  |     -9_64 - -9_61     |   L1PA4(t) - L1Pt(h)    |   52    |  True  | L1PA4tou, L1PA4hoi, L1Pttou, L1Pthoi | chimpanzee 
 5   | chimpanzee |   9666t - 30604h  |      5_68 - 5_70      |   L1PA3(t) - L1PA4(t)   |   72    |  True  | L1PA3tou, L1PA3hoi, L1PA4hou, L1PA4toi | chimpanzee 
 6   | chimpanzee |   3666t - 7435h   |     14_17 - 14_61     |   L1PA2(h) - L1PA4(h)   |   76    | False  | L1PA2hou, L1PA2toi, L1PA4tou, L1PA4hoi | chimpanzee 
 7   | chimpanzee |  20691h - 23306t  |     17_20 - 17_24     |   L1PA3(t) - L1PA5(h)   |   83    |  True  | L1PA3tou, L1PA3hoi, L1PA5tou, L1PA5hoi | chimpanzee 
 8   | chimpanzee |  15449h - 35832h  |    -4_259 - -4_258    |   L1PA4(t) - L1PA4(h)   |   86    |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
 9   | chimpanzee |  28553t - 4649h   |      5_70 - 5_71      |    L1Pt(t) - L1Pt(h)    |   90    |  True  | L1Pttou, L1Pthoi | chimpanzee 
 10  | chimpanzee |   2286h - 6294h   |     -17_8 - -17_6     |   L1PA4(t) - L1PA3(t)   |   113   |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 11  | chimpanzee |  23099h - 21940h  |     -15_7 - -15_6     |    L1Pt(t) - L1Pt(h)    |   124   |  True  | L1Pttou, L1Pthoi | chimpanzee 
 12  | chimpanzee |   5412h - 30125t  |    -12_21 - -12_22    |   L1PA2(h) - L1Pt(h)    |   131   |  True  | L1PA2hou, L1PA2toi, L1Pttou, L1Pthoi | chimpanzee 
 13  | chimpanzee |  13137h - 4488t   |    2B_165 - 2B_171    |   L1PA4(h) - L1Pt(h)    |   181   |  True  | L1PA4hou, L1PA4toi, L1Pttou, L1Pthoi | chimpanzee 
 14  | chimpanzee |   2971h - 30928h  |      1_33 - 1_35      |   L1PA3(t) - L1PA3(h)   |   192   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 15  | chimpanzee |  21838t - 6543h   |   -12_143 - -12_142   |    L1Pt(h) - L1Pt(t)    |   270   |  True  | L1Pthou, L1Pttoi | chimpanzee 
 16  | chimpanzee |  32956t - 13948t  |    -11_20 - -11_18    |    L1Pt(t) - L1P1(t)    |   288   |  True  | L1Pttou, L1Pthoi, L1P1hou, L1P1toi | chimpanzee 
 17  | chimpanzee |  22231h - 13442t  |     1_116 - 1_118     |    L1P1(h) - L1Pt(h)    |   310   |  True  | L1P1hou, L1P1toi, L1Pttou, L1Pthoi | chimpanzee 
 18  | chimpanzee |   2076t - 11720t  |     3_232 - 3_234     |   L1PA3(t) - L1PA4(t)   |   315   |  True  | L1PA3tou, L1PA3hoi, L1PA4hou, L1PA4toi | chimpanzee 
 19  | chimpanzee |  36498t - 31373h  |     -7_41 - -7_39     |   L1PA5(t) - L1PA3(t)   |   356   |  True  | L1PA5tou, L1PA5hoi, L1PA3hou, L1PA3toi | chimpanzee 
 20  | chimpanzee |  16827t - 25926h  |    -1_176 - -1_175    |   L1PA3(h) - L1PA3(t)   |   360   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 21  | chimpanzee |  10147h - 27197h  |    -9_106 - -9_112    |    L1Pt(t) - L1P1(h)    |   440   |  True  | L1Pttou, L1Pthoi, L1P1tou, L1P1hoi | chimpanzee 
 22  | chimpanzee |  19433t - 2952h   |    -2B_64 - -2B_54    |   L1PA2(h) - L1PA3(t)   |   479   |  True  | L1PA2hou, L1PA2toi, L1PA3hou, L1PA3toi | chimpanzee 
 23  | chimpanzee |  33301t - 1145t   |    -3_165 - -3_161    |   L1PA2(t) - L1PA4(t)   |   510   |  True  | L1PA2tou, L1PA2hoi, L1PA4hou, L1PA4toi | chimpanzee 
 24  | chimpanzee |  40549t - 17395h  |   -12_177 - -12_176   |   L1PA4(h) - L1PA4(t)   |   514   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
 25  | chimpanzee |   4880t - 15458h  |   -10_107 - -15_53    |   L1PA3(t) - L1PA5(h)   |   551   | False  | L1PA3tou, L1PA3hoi, L1PA5tou, L1PA5hoi | chimpanzee 
 26  | chimpanzee |  53106h - 5336t   |    -X_128 - -X_126    |   L1PA3(h) - L1PA4(t)   |   553   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
 27  | chimpanzee |   3916t - 2393h   |    2A_126 - -1_43     |   L1PA3(h) - L1Pt(h)    |   554   | False  | L1PA3hou, L1PA3toi, L1Pttou, L1Pthoi | chimpanzee 
 28  | chimpanzee |  45739t - 15324h  |      -1_4 - -1_3      |   L1PA4(t) - L1PA4(h)   |   565   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
 29  | chimpanzee |  29645h - 21662h  |      5_66 - 5_68      |   L1PA3(h) - L1PA3(h)   |   576   |  True  | L1PA3hou, L1PA3toi, L1PA3tou, L1PA3hoi | chimpanzee 
 30  | chimpanzee |  12284t - 15741h  |     6_109 - 6_120     |   L1PA3(h) - L1PA2(h)   |   597   |  True  | L1PA3hou, L1PA3toi, L1PA2tou, L1PA2hoi | chimpanzee 
 31  | chimpanzee |   4654h - 13015t  |      22_5 - 22_8      |   L1PA5(t) - L1Pt(t)    |   602   |  True  | L1PA5tou, L1PA5hoi, L1Pthou, L1Pttoi | chimpanzee 
 32  | chimpanzee |  24575t - 31794h  |      9_50 - 9_53      |   L1PA2(t) - L1PA4(h)   |   616   |  True  | L1PA2tou, L1PA2hoi, L1PA4tou, L1PA4hoi | chimpanzee 
 33  | chimpanzee |  18279h - 3546t   |    10_107 - 4_177     |   L1PA3(t) - L1P1(h)    |   632   | False  | L1PA3tou, L1PA3hoi, L1P1tou, L1P1hoi | chimpanzee 
 34  | chimpanzee |  18805t - 11779t  |     6_166 - 6_167     |   L1PA5(t) - L1PA5(h)   |   635   |  True  | L1PA5tou, L1PA5hoi | chimpanzee 
 35  | chimpanzee |   7735t - 7067t   |     2B_35 - 2B_38     |   L1PA4(h) - L1PA3(t)   |   637   |  True  | L1PA4hou, L1PA4toi, L1PA3hou, L1PA3toi | chimpanzee 
 36  | chimpanzee |   6620h - 9669t   |    -9_118 - -9_117    |    L1P1(h) - L1P1(t)    |   640   |  True  | L1P1hou, L1P1toi | chimpanzee 
 37  | chimpanzee |  19433h - 8198h   |     2B_64 - 2B_66     |   L1PA3(h) - L1PA3(t)   |   645   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 38  | chimpanzee |   8396h - 6576h   |    -11_60 - -11_58    |    L1P1(t) - L1PA2(h)   |   661   |  True  | L1P1tou, L1P1hoi, L1PA2tou, L1PA2hoi | chimpanzee 
 39  | chimpanzee |  19130h - 13456t  |    -14_69 - -14_67    |   L1PA4(t) - L1PA3(t)   |   685   |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 40  | chimpanzee |  14376t - 7277h   |     8_124 - 8_126     |    L1Pt(h) - L1PA3(h)   |   718   |  True  | L1Pthou, L1Pttoi, L1PA3tou, L1PA3hoi | chimpanzee 
 41  | chimpanzee |  10277h - 4970t   |     -6_49 - -6_42     |    L1P1(t) - L1P1(h)    |   724   |  True  | L1P1tou, L1P1hoi | chimpanzee 
 42  | chimpanzee |  16893h - 43914h  |     -8_75 - -8_65     |   L1PA4(h) - L1PA3(t)   |   837   |  True  | L1PA4hou, L1PA4toi, L1PA3hou, L1PA3toi | chimpanzee 
 43  | chimpanzee |  18094h - 42506h  |     -2B_9 - -2B_8     |   L1PA3(h) - L1PA3(t)   |   851   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 44  | chimpanzee |   4938h - 22566h  |     12_98 - 12_100    |   L1PA4(h) - L1PA5(t)   |   856   |  True  | L1PA4hou, L1PA4toi, L1PA5hou, L1PA5toi | chimpanzee 
 45  | chimpanzee |   9020t - 7958h   |    -6_180 - -6_179    |    L1P1(h) - L1P1(t)    |   920   |  True  | L1P1hou, L1P1toi | chimpanzee 
 46  | chimpanzee |   9761t - 31657t  |     -8_39 - -8_34     |   L1PA2(t) - L1PA4(t)   |   930   |  True  | L1PA2tou, L1PA2hoi, L1PA4hou, L1PA4toi | chimpanzee 
 47  | chimpanzee |  25607h - 7140t   |     5_200 - 5_204     |   L1PA5(h) - L1PA2(t)   |   961   |  True  | L1PA5hou, L1PA5toi, L1PA2hou, L1PA2toi | chimpanzee 
 48  | chimpanzee |  13554h - 11001t  |    -4_137 - -4_128    |   L1PA4(t) - L1PA2(h)   |   984   |  True  | L1PA4tou, L1PA4hoi, L1PA2tou, L1PA2hoi | chimpanzee 
 49  | chimpanzee |   9078t - 8599h   |    -11_75 - -11_61    |   L1PA3(t) - L1PA3(h)   |  1014   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
