 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
 0   | chimpanzee |   1027h - 16747h  |     4_871 - 4_874     |    L1P1(h) - L1Pt(h)    |    1    |  True  | L1P1hou, L1P1toi, L1Pttou, L1Pthoi | chimpanzee 
 1   | chimpanzee |  11349h - 8788h   |    -5_938 - -5_929    |    L1P1(t) - L1PA4(h)   |   12    |  True  | L1P1tou, L1P1hoi, L1PA4tou, L1PA4hoi | chimpanzee 
 2   | chimpanzee |  14824h - 31483t  |     -1_80 - 1_84      |   L1PA3(h) - L1Pt(h)    |   32    | False  | L1PA3hou, L1PA3toi, L1Pttou, L1Pthoi | chimpanzee 
 3   | chimpanzee |   2505h - 15631t  |     7_939 - 7_942     |    L1P1(h) - L1PA5(t)   |   35    |  True  | L1P1hou, L1P1toi, L1PA5hou, L1PA5toi | chimpanzee 
 4   | chimpanzee |  11834t - 16399h  |   -15_107 - -15_106   |   L1PA3(h) - L1PA3(t)   |   40    |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 5   | chimpanzee |  12700h - 8960t   |    X_1435 - X_1443    |   L1PA5(t) - L1PA4(t)   |   47    |  True  | L1PA5tou, L1PA5hoi, L1PA4hou, L1PA4toi | chimpanzee 
 6   | chimpanzee |  20850t - 22888h  |    -1_641 - -1_638    |   L1PA3(h) - L1PA3(t)   |   53    |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 7   | chimpanzee |  16927t - 12958h  |    -3_987 - -3_981    |   L1PA3(t) - L1PA4(h)   |   76    |  True  | L1PA3tou, L1PA3hoi, L1PA4tou, L1PA4hoi | chimpanzee 
 8   | chimpanzee |  22209t - 9424h   |    -4_569 - -4_568    |   L1PA5(t) - L1PA5(h)   |   79    |  True  | L1PA5tou, L1PA5hoi | chimpanzee 
 9   | chimpanzee |   6961h - 7277t   |    -8_490 - -8_489    |   L1PA2(h) - L1PA2(t)   |   84    |  True  | L1PA2hou, L1PA2toi | chimpanzee 
 10  | chimpanzee |  30604h - 9666t   |    -5_315 - -5_312    |   L1PA4(t) - L1PA3(t)   |   91    |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 11  | chimpanzee |  21838h - 26581t  |    12_632 - 3_1165    |   L1PA4(t) - L1PA4(h)   |   114   | False  | L1PA4tou, L1PA4hoi | chimpanzee 
 12  | chimpanzee |  15741t - 12635t  |     6_624 - 6_625     |   L1PA3(h) - L1PA3(t)   |   115   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 13  | chimpanzee |  27795h - 8571t   |   -2B_467 - -2B_461   |   L1PA4(t) - L1PA3(t)   |   172   |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 14  | chimpanzee |   6123h - 33778h  |     9_263 - 9_264     |   L1PA3(h) - L1PA3(t)   |   185   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 15  | chimpanzee |  40428h - 25609h  |    20_204 - 20_205    |    L1Pt(t) - L1Pt(h)    |   196   | False  | L1Pttou, L1Pthoi | chimpanzee 
 16  | chimpanzee |  22181t - 37058h  |   -11_549 - -11_543   |    L1P1(t) - L1PA2(t)   |   208   |  True  | L1P1tou, L1P1hoi, L1PA2hou, L1PA2toi | chimpanzee 
 17  | chimpanzee |  16865t - 310h    |     -20_8 - -20_7     |   L1PA5(h) - L1PA5(t)   |   211   |  True  | L1PA5hou, L1PA5toi | chimpanzee 
 18  | chimpanzee |  46440t - 6142h   |    2A_414 - 2A_415    |    L1Pt(h) - L1Pt(t)    |   222   |  True  | L1Pthou, L1Pttoi | chimpanzee 
 19  | chimpanzee |  23040h - 16799h  |    -7_873 - -7_872    |   L1PA5(h) - L1PA5(t)   |   232   |  True  | L1PA5hou, L1PA5toi | chimpanzee 
 20  | chimpanzee |   4216h - 7442t   |   -12_315 - 12_433    |   L1PA3(h) - L1PA3(t)   |   239   | False  | L1PA3hou, L1PA3toi | chimpanzee 
 21  | chimpanzee |  33887h - 4874h   |      1_84 - 1_85      |   L1PA3(h) - L1PA3(t)   |   241   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 22  | chimpanzee |   6433h - 3754t   |   -19_132 - -19_130   |   L1PA4(t) - L1P1(h)    |   267   | False  | L1PA4tou, L1PA4hoi, L1P1tou, L1P1hoi | chimpanzee 
 23  | chimpanzee |  16703t - 6812h   |    2B_905 - 2B_907    |   L1PA3(t) - L1PA3(h)   |   298   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 24  | chimpanzee |   6856t - 22146t  |   -20_156 - -20_155   |   L1PA3(t) - L1PA3(h)   |   359   | False  | L1PA3tou, L1PA3hoi | chimpanzee 
 25  | chimpanzee |  15582h - 10120h  |    -9_533 - -9_530    |   L1PA5(t) - L1PA3(t)   |   364   |  True  | L1PA5tou, L1PA5hoi, L1PA3hou, L1PA3toi | chimpanzee 
 26  | chimpanzee |  36239t - 15443h  |    3_1023 - 3_1031    |   L1PA3(h) - L1PA4(t)   |   367   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
 27  | chimpanzee |   5554h - 10573t  |      12_5 - 12_9      |    L1Pt(h) - L1PA2(t)   |   421   |  True  | L1Pthou, L1Pttoi, L1PA2hou, L1PA2toi | chimpanzee 
 28  | chimpanzee |   7903t - 30418h  |   -13_124 - -13_121   |   L1PA3(t) - L1PA3(h)   |   448   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 29  | chimpanzee |    191h - 25915t  |   -10_732 - -10_730   |   L1PA5(h) - L1PA3(t)   |   460   |  True  | L1PA5hou, L1PA5toi, L1PA3hou, L1PA3toi | chimpanzee 
 30  | chimpanzee |  30319h - 7951h   |    -8_692 - -8_669    |   L1PA5(h) - L1PA2(h)   |   461   |  True  | L1PA5hou, L1PA5toi, L1PA2tou, L1PA2hoi | chimpanzee 
 31  | chimpanzee |  11352h - 15958t  |     10_96 - 10_106    |   L1PA3(h) - L1PA3(h)   |   467   |  True  | L1PA3hou, L1PA3toi, L1PA3tou, L1PA3hoi | chimpanzee 
 32  | chimpanzee |   2189h - 36630t  |    2B_664 - 2B_682    |   L1PA4(t) - L1PA4(t)   |   497   |  True  | L1PA4tou, L1PA4hoi, L1PA4hou, L1PA4toi | chimpanzee 
 33  | chimpanzee |   3462h - 19404h  |     6_866 - 6_867     |   L1PA3(t) - L1PA3(h)   |   501   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 34  | chimpanzee |  12883h - 12617h  |    2B_793 - 2B_794    |   L1PA3(t) - L1PA3(h)   |   516   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 35  | chimpanzee |  17870t - 17793h  |     -19_2 - -19_1     |   L1PA3(h) - L1PA3(t)   |   525   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 36  | chimpanzee |   5615t - 14161t  |     6_178 - 6_180     |    L1P1(h) - L1P1(h)    |   536   | False  | L1P1hou, L1P1toi, L1P1tou, L1P1hoi | chimpanzee 
 37  | chimpanzee |  24222h - 2929h   |    -16_76 - -16_67    |   L1PA2(h) - L1PA5(h)   |   548   |  True  | L1PA2hou, L1PA2toi, L1PA5tou, L1PA5hoi | chimpanzee 
 38  | chimpanzee |   9545t - 21695t  |    5_1146 - 9_456     |   L1PA2(h) - L1Pt(h)    |   586   |  True  | L1PA2hou, L1PA2toi, L1Pttou, L1Pthoi | chimpanzee 
 39  | chimpanzee |    669t - 3643t   |    4_1001 - 4_1005    |   L1PA3(t) - L1PA4(t)   |   592   |  True  | L1PA3tou, L1PA3hoi, L1PA4hou, L1PA4toi | chimpanzee 
 40  | chimpanzee |  37794h - 11861h  |     8_282 - 8_294     |    L1P1(t) - L1PA4(t)   |   605   |  True  | L1P1tou, L1P1hoi, L1PA4hou, L1PA4toi | chimpanzee 
 41  | chimpanzee |  18151h - 3057t   |     16_48 - -16_39    |   L1PA3(t) - L1P1(t)    |   613   |  True  | L1PA3tou, L1PA3hoi, L1P1hou, L1P1toi | chimpanzee 
 42  | chimpanzee |   7821h - 24384t  |     1_657 - 1_659     |   L1PA3(h) - L1P1(h)    |   652   |  True  | L1PA3hou, L1PA3toi, L1P1tou, L1P1hoi | chimpanzee 
 43  | chimpanzee |   2244h - 12377h  |   -6_1021 - -6_1015   |   L1PA3(t) - L1PA5(h)   |   656   |  True  | L1PA3tou, L1PA3hoi, L1PA5tou, L1PA5hoi | chimpanzee 
 44  | chimpanzee |  10617h - 3242t   |    20_126 - 20_134    |   L1PA6(t) - L1PA4(h)   |   666   |  True  | L1PA6tou, L1PA6hoi, L1PA4tou, L1PA4hoi | chimpanzee 
 45  | chimpanzee |  11991t - 18753h  |    -5_765 - 5_122     |   L1PA2(t) - L1PA3(h)   |   679   |  True  | L1PA2tou, L1PA2hoi, L1PA3tou, L1PA3hoi | chimpanzee 
 46  | chimpanzee |  17652t - 7903h   |   -13_125 - -13_124   |   L1PA3(h) - L1PA3(t)   |   689   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 47  | chimpanzee |  36805t - 36826t  |    -3_456 - -3_445    |   L1PA3(h) - L1PA4(t)   |   694   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
