 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
 0   | chimpanzee |   6801t - 17230t  |    -X_487 - -19_1     |   L1PA3(h) - L1P1(h)    |    2    | False  | L1PA3hou, L1PA3toi, L1P1tou, L1P1hoi | chimpanzee 
 1   | chimpanzee |  22888t - 2570t   |    -1_226 - -1_225    |   L1PA3(t) - L1PA3(h)   |   73    |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 2   | chimpanzee |   1995h - 20711t  |      12_5 - 12_8      |   L1PA2(h) - L1PA3(h)   |   86    |  True  | L1PA2hou, L1PA2toi, L1PA3tou, L1PA3hoi | chimpanzee 
 3   | chimpanzee |  30418h - 7903t   |     13_44 - 13_47     |   L1PA3(h) - L1PA3(t)   |   104   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 4   | chimpanzee |  10930t - 153h    |    2A_125 - 2A_126    |   L1PA3(h) - L1PA3(t)   |   118   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 5   | chimpanzee |   1104t - 40783t  |     3_355 - 3_364     |   L1PA4(t) - L1PA3(t)   |   140   |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 6   | chimpanzee |  11124h - 12137t  |    -16_84 - -16_83    |    L1Pt(t) - L1Pt(h)    |   174   |  True  | L1Pttou, L1Pthoi | chimpanzee 
 7   | chimpanzee |  21168t - 19496t  |     2B_59 - 2B_60     |   L1PA2(t) - L1PA2(h)   |   175   |  True  | L1PA2tou, L1PA2hoi | chimpanzee 
 8   | chimpanzee |  11614t - 11291h  |    -17_62 - -17_61    |   L1PA3(h) - L1PA3(t)   |   191   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 9   | chimpanzee |  12773t - 22362t  |   -12_286 - -12_286   |   L1PA3(h) - L1PA2(h)   |   215   |  True  | L1PA3hou, L1PA3toi, L1PA2tou, L1PA2hoi | chimpanzee 
 10  | chimpanzee |  16991h - 17674t  |    -3_141 - -3_140    |   L1PA3(t) - L1PA3(h)   |   228   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 11  | chimpanzee |   7930h - 22955h  |    -8_174 - -8_165    |   L1PA4(h) - L1PA3(h)   |   242   |  True  | L1PA4hou, L1PA4toi, L1PA3tou, L1PA3hoi | chimpanzee 
 12  | chimpanzee |  23607t - 23498t  |     7_454 - 7_461     |   L1PA3(h) - L1PA2(h)   |   272   |  True  | L1PA3hou, L1PA3toi, L1PA2tou, L1PA2hoi | chimpanzee 
 13  | chimpanzee |   7768t - 5213h   |    10_198 - 10_200    |   L1PA2(h) - L1PA2(h)   |   277   |  True  | L1PA2hou, L1PA2toi, L1PA2tou, L1PA2hoi | chimpanzee 
 14  | chimpanzee |   2798h - 17567t  |    2A_168 - 2A_178    |   L1PA3(h) - L1PA5(h)   |   301   |  True  | L1PA3hou, L1PA3toi, L1PA5tou, L1PA5hoi | chimpanzee 
 15  | chimpanzee |   8087h - 27427t  |     -X_29 - -X_26     |   L1PA3(h) - L1Pt(h)    |   318   |  True  | L1PA3hou, L1PA3toi, L1Pttou, L1Pthoi | chimpanzee 
 16  | chimpanzee |   2286h - 6294h   |    -17_18 - -17_16    |   L1PA4(t) - L1PA3(t)   |   342   |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 17  | chimpanzee |  32956t - 13948t  |    -11_30 - -11_25    |    L1Pt(t) - L1P1(t)    |   366   |  True  | L1Pttou, L1Pthoi, L1P1hou, L1P1toi | chimpanzee 
 18  | chimpanzee |  58302h - 13840h  |     9_143 - 9_148     |   L1PA3(t) - L1PA2(h)   |   370   |  True  | L1PA3tou, L1PA3hoi, L1PA2tou, L1PA2hoi | chimpanzee 
 19  | chimpanzee |  13554h - 11001t  |    -4_249 - -4_237    |   L1PA4(t) - L1PA2(h)   |   388   |  True  | L1PA4tou, L1PA4hoi, L1PA2tou, L1PA2hoi | chimpanzee 
 20  | chimpanzee |   9092h - 24140h  |    -21_23 - -21_31    |   L1PA4(h) - L1P1(t)    |   390   | False  | L1PA4hou, L1PA4toi, L1P1hou, L1P1toi | chimpanzee 
 21  | chimpanzee |  12781t - 482h    |   -2A_228 - -2A_227   |   L1PA4(h) - L1PA4(t)   |   394   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
 22  | chimpanzee |   7933h - 11066h  |    2B_321 - 2B_335    |   L1PA4(h) - L1PA4(h)   |   402   |  True  | L1PA4hou, L1PA4toi, L1PA4tou, L1PA4hoi | chimpanzee 
 23  | chimpanzee |   5558t - 18454h  |    -2B_24 - -2B_23    |   L1PA4(h) - L1PA4(t)   |   426   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
 24  | chimpanzee |   6347h - 35342h  |      16_1 - 16_6      |   L1PA3(h) - L1P1(h)    |   461   |  True  | L1PA3hou, L1PA3toi, L1P1tou, L1P1hoi | chimpanzee 
 25  | chimpanzee |  23099h - 21940h  |    -15_17 - -15_15    |   L1PA3(h) - L1Pt(h)    |   467   |  True  | L1PA3hou, L1PA3toi, L1Pttou, L1Pthoi | chimpanzee 
 26  | chimpanzee |   2706t - 22577t  |      7_59 - 7_62      |   L1PA2(t) - L1PA5(h)   |   469   |  True  | L1PA2tou, L1PA2hoi, L1PA5tou, L1PA5hoi | chimpanzee 
